"STATION","NAME","DATE","DAPR","MDPR","PRCP","SNOW","SNWD"
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-03-11",,,"0.00","0.0",
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-03-12",,,"0.00","0.0",
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-03-13",,,"0.00","0.0",
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-03-14",,,"0.37",,
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-03-15",,,"0.03",,
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-03-16",,,"0.00","0.0",
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-03-17",,,"0.00","0.0",
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-03-18",,,"0.00","0.0",
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-03-19",,,"0.01",,
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-03-20",,,"0.00","0.0",
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-03-21",,,"0.00","0.0",
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-03-22",,,"0.22",,
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-03-23",,,"0.78",,
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-03-24",,,"0.01",,
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-03-25",,,"0.16",,
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-03-26",,,"0.43",,
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-03-27",,,"1.14",,
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-03-28",,,"0.17",,
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-03-29",,,"0.01",,
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-03-30",,,"0.21",,
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-03-31",,,"0.00","0.0",
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-04-01",,,"0.00","0.0",
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-04-02",,,"0.01",,
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-04-03",,,"0.02",,
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-04-04",,,"0.00","0.0",
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-04-05",,,"0.61",,
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-04-06",,,"0.78",,
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-04-07",,,"0.54",,
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-04-09","    2","0.72",,,
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-04-10",,,"0.01",,
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-04-11",,,"0.17",,
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-04-12",,,"0.61",,
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-04-13",,,"0.24",,
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-04-14",,,"0.56",,
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-04-15",,,"0.63",,
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-04-16",,,"0.32",,
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-04-17",,,"0.62",,
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-04-18",,,"0.00","0.0",
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-04-19",,,"0.00","0.0",
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-04-20",,,"0.00","0.0",
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-04-21",,,"0.25",,
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-04-22",,,"0.00","0.0",
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-04-23",,,"0.00","0.0",
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-04-24",,,"0.00","0.0",
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-04-25",,,"0.00","0.0",
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-04-26",,,"0.00","0.0",
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-04-27",,,"0.00","0.0",
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-04-28",,,"0.00",,
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-04-29",,,"0.41",,
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-04-30",,,"0.10",,
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-05-01",,,"0.00",,
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-05-02",,,"0.00","0.0",
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-05-03",,,"0.00","0.0",
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-05-24","   21","0.15",,,
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-05-25",,,"0.00","0.0",
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-05-26",,,"0.00","0.0",
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-05-27",,,"0.00","0.0",
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-05-28",,,"0.00","0.0",
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-05-29",,,"0.00","0.0",
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-05-30",,,"0.00","0.0",
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-05-31",,,"0.00","0.0",
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-06-01",,,"0.00","0.0",
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-06-19","   18","1.08",,,
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-06-20",,,"0.00","0.0",
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-06-21",,,"0.00","0.0",
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-06-22",,,"0.00","0.0",
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-06-23",,,"0.00",,
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-06-24",,,"0.00","0.0",
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-06-25",,,"0.48",,
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-06-26",,,"0.00","0.0",
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-06-27",,,"0.00","0.0",
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-06-28",,,"0.01",,
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-06-29",,,"0.00",,
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-06-30",,,"0.08",,
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-07-01",,,"0.06",,
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-07-02",,,"0.01",,
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-07-03",,,"0.00","0.0",
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-07-04",,,"0.00","0.0",
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-07-05",,,"0.01",,
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-07-06",,,"0.00","0.0",
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-07-07",,,"0.17",,
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-07-08",,,"0.04","0.0",
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-07-09",,,"0.00","0.0",
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-07-10",,,"0.12",,
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-07-11",,,"0.01",,
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-07-12",,,"0.00","0.0",
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-07-13",,,"0.00","0.0",
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-07-14",,,"0.00","0.0",
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-07-15",,,"0.00","0.0",
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-07-16",,,"0.00","0.0",
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-07-17",,,"0.00","0.0",
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-07-18",,,"0.00","0.0",
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-07-19",,,"0.00","0.0",
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-07-20",,,"0.00","0.0",
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-07-21",,,"0.00","0.0",
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-07-22",,,"0.00","0.0",
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-07-23",,,"0.00","0.0",
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-07-24",,,"0.00","0.0",
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-07-25",,,"0.00",,
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-07-26",,,"0.00","0.0",
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-07-27",,,"0.00","0.0",
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-07-28",,,"0.00","0.0",
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-07-29",,,"0.00","0.0",
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-07-30",,,"0.00","0.0",
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-07-31",,,"0.00","0.0",
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-08-01",,,"0.00","0.0",
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-08-02",,,"0.00","0.0",
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-08-03",,,"0.00","0.0",
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-08-04",,,"0.00","0.0",
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-08-05",,,"0.00","0.0",
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-08-06",,,"0.00","0.0",
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-08-07",,,"0.00",,
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-08-08",,,"0.00","0.0",
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-08-09",,,"0.00","0.0",
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-08-10",,,"0.00","0.0",
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-08-11",,,"0.00","0.0",
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-08-12",,,"0.12",,
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-08-13",,,"0.00","0.0",
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-08-14",,,"0.00","0.0",
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-08-15",,,"0.00","0.0",
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-08-16",,,"0.00","0.0",
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-08-17",,,"0.00","0.0",
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-08-18",,,"0.00","0.0",
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-08-19",,,"0.00","0.0",
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-08-20",,,"0.00","0.0",
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-08-21",,,"0.00","0.0",
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-08-22",,,"0.00","0.0",
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-08-23",,,"0.00","0.0",
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-08-24",,,"0.00","0.0",
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-08-25",,,"0.00","0.0",
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-08-26",,,"0.24",,
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-08-27",,,"0.00","0.0",
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-08-28",,,"0.00","0.0",
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-08-29",,,"0.00","0.0",
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-08-30",,,"0.03",,
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-08-31",,,"0.00","0.0",
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-09-01",,,"0.00","0.0",
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-09-02",,,"0.00",,
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-09-03",,,"0.00","0.0",
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-09-04",,,"0.00","0.0",
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-09-05",,,"0.00","0.0",
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-09-06",,,"0.00","0.0",
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-09-07",,,"0.02",,
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-09-08",,,"0.05",,
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-09-09",,,"0.10",,
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-09-10",,,"0.31",,
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-09-11",,,"0.20",,
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-09-12",,,"0.43",,
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-09-13",,,"0.00","0.0",
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-09-14",,,"0.00",,
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-09-15",,,"0.09",,
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-09-16",,,"0.60",,
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-09-17",,,"0.10",,
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-09-18",,,"0.00","0.0",
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-09-19",,,"0.00","0.0",
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-09-20",,,"0.11",,
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-09-25","    5","2.33",,,"0.0"
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-09-26",,,"0.00","0.0",
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-09-27",,,"0.00","0.0",
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-09-28",,,"0.00","0.0",
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-09-29",,,"0.00","0.0",
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-09-30",,,"0.37",,
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-10-01",,,"0.75",,
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-10-02",,,"0.21",,
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-10-03",,,"0.00","0.0",
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-10-04",,,"0.00","0.0",
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-10-05",,,"0.03",,
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-10-06",,,"0.02",,
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-10-07",,,"0.06",,
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-10-08",,,"0.24",,
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-10-09",,,"0.03",,
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-10-10",,,"0.00","0.0",
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-10-11",,,"0.00","0.0",
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-10-12",,,"0.00",,
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-10-13",,,"0.00","0.0",
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-10-14",,,"0.00","0.0",
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-10-15",,,"0.00","0.0",
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-10-16",,,"0.00","0.0",
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-10-17",,,"0.00","0.0",
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-10-18",,,"0.00","0.0",
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-10-19",,,"0.00","0.0",
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-10-20",,,"0.00","0.0",
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-10-21",,,"0.00","0.0",
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-10-22",,,"0.00",,
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-10-23",,,"0.00","0.0",
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-10-24",,,"0.05",,
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-10-25",,,"0.16",,
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-10-26",,,"0.72",,
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-10-27",,,"0.00","0.0",
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-10-28",,,"0.56",,
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-10-29",,,"1.68",,
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-10-30",,,"0.44",,
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-10-31",,,"0.98",,
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-11-01",,,"0.77",,
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-11-02",,,"0.83",,
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-11-03",,,"0.02",,
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-11-04",,,"1.02",,
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-11-05",,,"0.02",,
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-11-06",,,"0.02",,
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-11-07",,,"0.00","0.0",
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-11-08",,,"0.00","0.0",
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-11-09",,,"0.17",,
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-11-10",,,"0.10",,
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-11-11",,,"0.00","0.0",
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-11-12",,,"0.00","0.0",
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-11-13",,,"0.00","0.0",
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-11-14",,,"1.13",,
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-11-15",,,"0.03",,
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-11-16",,,"0.16",,
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-11-17",,,"0.00","0.0",
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-11-18",,,"0.00","0.0",
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-11-19",,,"0.00",,
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-11-20",,,"0.00","0.0",
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-11-21",,,"0.01",,
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-11-22",,,"0.95",,
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-11-23",,,"0.60",,
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-11-24",,,"0.03",,
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-11-25",,,"0.05",,
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-11-26",,,"0.57",,
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-11-27",,,"2.20",,
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-11-28",,,"0.25",,
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-11-29",,,"0.24",,
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-11-30",,,"0.13",,
"CA1BC000039","VANCOUVER 3.4 SSW, BC CA","2018-12-01",,,"0.34",,
